Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.4,,,
Sample Interval,0.0032,,,
Filter Frequency,2e+08,,,
Record Length,2000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.002,0.001,2,0.001
Label,,,,
TIME,CH1,CH2,CH3,CH4
-3.200e+00,-9.53674e-11,2e-05,0.68,2.98023e-12
-3.197e+00,-9.53674e-11,0.0001,0.84,2.98023e-12
-3.194e+00,-9.53674e-11,0.00018,1.08,8e-05
-3.190e+00,-9.53674e-11,0.0001,1.24,8e-05
-3.187e+00,-9.53674e-11,0.0001,1.4,2.98023e-12
-3.184e+00,-8.00001e-05,0.0001,1.32,4e-05
-3.181e+00,-8.00001e-05,0.00018,1.16,2.98023e-12
-3.178e+00,-0.00016,0.00014,0.92,-4e-05
-3.174e+00,-0.00016,0.00018,0.68,-8e-05
-3.171e+00,-0.00024,0.00018,0.52,8e-05
-3.168e+00,-0.00016,0.00018,0.36,0.00016
-3.165e+00,-8.00001e-05,0.0001,0.2,-8e-05
-3.162e+00,-0.00016,-6e-05,-0.04,4e-05
-3.158e+00,-9.53674e-11,0.00018,-0.2,-0.0002
-3.155e+00,0.00016,0.00022,-0.44,-0.00012
-3.152e+00,-8.00001e-05,0.00018,-0.6,-4e-05
-3.149e+00,-9.53674e-11,0.00018,-0.84,2.98023e-12
-3.146e+00,-8.00001e-05,0.0001,-1,2.98023e-12
-3.142e+00,-0.00016,0.00014,-1.24,8e-05
-3.139e+00,-0.00016,0.0001,-1.4,4e-05
-3.136e+00,-8.00001e-05,0.00018,-1.56,0.00016
-3.133e+00,-9.53674e-11,0.00014,-1.4,2.98023e-12
-3.130e+00,-0.00016,2e-05,-1.16,-8e-05
-3.126e+00,-9.53674e-11,6e-05,-1,-4e-05
-3.123e+00,-8.00001e-05,6e-05,-0.76,2.98023e-12
-3.120e+00,-8.00001e-05,0.00022,-0.6,2.98023e-12
-3.117e+00,-0.00016,0.00018,-0.36,2.98023e-12
-3.114e+00,-9.53674e-11,0.00018,-0.2,4e-05
-3.110e+00,-0.00016,6e-05,0.04,-0.0002
-3.107e+00,-8.00001e-05,0.00026,0.2,-0.00016
-3.104e+00,7.99999e-05,0.00026,0.44,4e-05
-3.101e+00,-8.00001e-05,0.00014,0.6,0.00012
-3.098e+00,-8.00001e-05,6e-05,0.76,0.0002
-3.094e+00,-9.53674e-11,0.00022,0.92,-8e-05
-3.091e+00,7.99999e-05,6e-05,1.16,-8e-05
-3.088e+00,-9.53674e-11,0.00042,1.4,4e-05
-3.085e+00,-0.00016,0.00022,1.4,4e-05
-3.082e+00,-8.00001e-05,0.00026,1.16,-0.00012
-3.078e+00,-8.00001e-05,-0.0001,1,8e-05
-3.075e+00,7.99999e-05,0.0001,0.84,-0.00012
-3.072e+00,-8.00001e-05,0.00014,0.6,-0.00012
-3.069e+00,-0.00016,0.00014,0.44,-0.00012
-3.066e+00,-8.00001e-05,0.00018,0.2,-4e-05
-3.062e+00,-9.53674e-11,6e-05,0.04,-8e-05
-3.059e+00,-0.00016,0.00018,-0.2,-4e-05
-3.056e+00,-0.00016,0.00018,-0.36,-8e-05
-3.053e+00,-9.53674e-11,0.0001,-0.6,4e-05
-3.050e+00,7.99999e-05,0.00014,-0.76,2.98023e-12
-3.046e+00,-0.00016,0.00022,-1,2.98023e-12
-3.043e+00,7.99999e-05,2e-05,-1.16,-0.00016
-3.040e+00,-0.00016,0.0001,-1.32,-0.00012
-3.037e+00,-8.00001e-05,0.00026,-1.56,-4e-05
-3.034e+00,-8.00001e-05,0.00018,-1.4,-0.00012
-3.030e+00,7.99999e-05,-2e-05,-1.24,-0.00016
-3.027e+00,-8.00001e-05,0.00022,-1,-4e-05
-3.024e+00,-8.00001e-05,0.0001,-0.84,-0.00016
-3.021e+00,-8.00001e-05,0.00018,-0.6,-0.00012
-3.018e+00,-8.00001e-05,0.00022,-0.44,4e-05
-3.014e+00,-8.00001e-05,0.00034,-0.2,2.98023e-12
-3.011e+00,-9.53674e-11,-2e-05,-0.04,-4e-05
-3.008e+00,-9.53674e-11,6e-05,0.12,4e-05
-3.005e+00,-8.00001e-05,0.00026,0.36,-0.00012
-3.002e+00,-8.00001e-05,0.00014,0.52,-4e-05
-2.998e+00,-9.53674e-11,2e-05,0.76,4e-05
-2.995e+00,-9.53674e-11,-2e-05,0.92,2.98023e-12
-2.992e+00,-9.53674e-11,0.00014,1.08,4e-05
-2.989e+00,-8.00001e-05,0.00018,1.32,-0.00012
-2.986e+00,-9.53674e-11,6e-05,1.48,2.98023e-12
-2.982e+00,-0.00016,0.00014,1.24,0.00012
-2.979e+00,-0.00024,0.00018,1,4e-05
-2.976e+00,-9.53674e-11,0.00018,0.84,8e-05
-2.973e+00,-0.00016,0.00022,0.68,2.98023e-12
-2.970e+00,-9.53674e-11,0.0001,0.44,8e-05
-2.966e+00,-9.53674e-11,0.00018,0.2,4e-05
-2.963e+00,-9.53674e-11,0.0001,0.04,4e-05
-2.960e+00,-8.00001e-05,0.00022,-0.12,4e-05
-2.957e+00,-9.53674e-11,0.0003,-0.28,4e-05
-2.954e+00,-0.00016,6e-05,-0.52,4e-05
-2.950e+00,-8.00001e-05,0.00014,-0.68,2.98023e-12
-2.947e+00,-9.53674e-11,0.00026,-0.92,2.98023e-12
-2.944e+00,-8.00001e-05,6e-05,-1.16,0.00012
-2.941e+00,-8.00001e-05,0.00026,-1.4,2.98023e-12
-2.938e+00,7.99999e-05,6e-05,-1.48,4e-05
-2.934e+00,-9.53674e-11,0.00018,-1.48,-0.00016
-2.931e+00,-8.00001e-05,6e-05,-1.32,-0.00016
-2.928e+00,-9.53674e-11,2e-05,-1.08,-8e-05
-2.925e+00,-9.53674e-11,0.00022,-0.84,2.98023e-12
-2.922e+00,-8.00001e-05,0.00022,-0.68,-4e-05
-2.918e+00,-8.00001e-05,0.0001,-0.44,2.98023e-12
-2.915e+00,-0.00016,0.00038,-0.28,-8e-05
-2.912e+00,-0.00016,6e-05,-0.12,0.00012
-2.909e+00,-9.53674e-11,0.00034,0.12,8e-05
-2.906e+00,7.99999e-05,2e-05,0.28,8e-05
-2.902e+00,-9.53674e-11,6e-05,0.52,8e-05
-2.899e+00,-9.53674e-11,2e-05,0.68,-4e-05
-2.896e+00,-8.00001e-05,0.00018,0.84,4e-05
